color;category;name;x;y;url;rss
#0B4A9E;JAVASCRIPT;css4design;385;483;http://www.css4design.com/;http://feeds.feedburner.com/css4design
#F989AD;JAVASCRIPT;jQuery Blog;692;458;http://jquery.com/;http://feeds.feedburner.com/jquery/
#F989AD;JAVASCRIPT;Maurice Svay;724;458;http://svay.com/blog/index/;http://svay.com/blog/index/feed/atom
#F989AD;JAVASCRIPT;Clientcide;755;458;http://www.clientcide.com/;http://feeds.feedburner.com/clientcide
#F989AD;JAVASCRIPT;og5;787;458;http://og5.net/christoph;http://og5.net/christoph/handler.xml/article
#F989AD;JAVASCRIPT;Dator;820;459;http://www.dator.fr/;http://feeds2.feedburner.com/DatorBlog
#F989AD;JAVASCRIPT;Woork;850;458;http://woork.blogspot.com/;http://feeds.feedburner.com/Woork
#F989AD;JAVASCRIPT;Pompage;882;458;http://www.pompage.net/;http://www.pompage.net/atom-1.00
#F989AD;JAVASCRIPT;Rey Bango;914;458;http://blog.reybango.com/;http://www.reybango.com/rss.cfm?mode=full
#FD7929;(WEB)MARKETING;El blog de Garrigos y LLopis;34;21;http://garrigosyllopis.wordpress.com;http://garrigosyllopis.wordpress.com/feed/
#FD7929;(WEB)MARKETING;Influencia ;67;21;http://fr.influencia.net/;http://rss.infopresse.com/influencia
#FD7929;(WEB)MARKETING;eTc;100;21;http://etc.territoriocreativo.es;http://feeds.feedburner.com/etc-blog-marketing
#FD7929;(WEB)MARKETING;FredCavazza;135;21;http://www.fredcavazza.net;http://www.fredcavazza.net/feed/
#FD7929;(WEB)MARKETING;E-conomy;196;21;http://aziz.typepad.com/economy_blogbuster/;http://feeds.feedburner.com/typepad/svvf
#FD7929;(WEB)MARKETING;Joelapompe;224;21;http://www.joelapompe.net/;http://www.joelapompe.net/feed/
#FD7929;(WEB)MARKETING;Marketing Weblog;254;21;http://marketing.blogs.ie.edu/;http://feeds2.feedburner.com/IEMarketingweblog
#FD7929;(WEB)MARKETING;Marketing is Dead;283;21;http://marketingisdead.blogspirit.com/;http://marketingisdead.blogspirit.com/index.rss
#FD7929;(WEB)MARKETING;Javier Godoy;312;21;http://javiergodoy.com;http://feeds2.feedburner.com/Analistacrm
#FD7929;(WEB)MARKETING;Markarina;340;21;http://www.markarina.com;http://www.markarina.com/feed/
#FD7929;(WEB)MARKETING;Marketing participativo;376;21;http://marketingparticipativo.wordpress.com;http://marketingparticipativo.wordpress.com/feed/
#FD7929;(WEB)MARKETING;Marketing Directo;412;21;http://www.marketingdirecto.com;http://www.marketingdirecto.com/rss/feed4.xml
#FD7929;(WEB)MARKETING;Marketingnews.es;439;21;http://www.marketingnews.es/;http://www.marketingnews.es/RSS/All
#FD7929;(WEB)MARKETING;The orange market;467;21;http://theorangemarket.com;http://theorangemarket.com/index.php/feed/
#FD7929;(WEB)MARKETING;Le blog de Cédric Deniaud ;495;21;http://cdeniaud.canalblog.com/;http://cdeniaud.canalblog.com/rss.xml
#FD7929;(WEB)MARKETING;Marketing & Innovation ;536;21;http://visionary.wordpress.com;http://visionary.wordpress.com/feed/
#FD7929;(WEB)MARKETING;Marketing Alternatif;580;21;http://www.marketing-alternatif.com;http://feeds.feedburner.com/MktAlt
#FD7929;(WEB)MARKETING;Marketingrama;611;21;http://www.marketingrama.com/veille/index.php;http://www.marketingrama.com/veille/rss.php
#DEA91A;OPEN SOURCE;Biologeek;442;264;http://www.biologeek.com/;http://www.biologeek.com/data/rss/
#DEA91A;OPEN SOURCE;Ubuntu Blog;489;264;http://ubuntu.wordpress.com/;http://ubuntu.wordpress.com/feed/
#DEA91A;OPEN SOURCE;The fridge;521;264;http://fridge.ubuntu.com/;http://fridge.ubuntu.com/atom/feed
#DEA91A;OPEN SOURCE;Mark Shuttleworth;549;264;http://www.markshuttleworth.com/;http://www.markshuttleworth.com/feed
#DEA91A;OPEN SOURCE;Planet Libre;577;264;http://www.planet-libre.org/;http://www.planet-libre.org/feed.php?type=rss
#DEA91A;OPEN SOURCE;Aza's Thoughts;605;264;http://www.azarask.in/blog/;http://www.azarask.in/blog/feed/
#DEA91A;OPEN SOURCE;Planet Ubuntu-fr;633;264;http://planet.ubuntu-fr.org/;http://planet.ubuntu-fr.org/rss.php
#DEA91A;OPEN SOURCE;Where is Ploum ?;661;264;http://ploum.frimouvy.org/;http://feeds.feedburner.com/WhereIsPloum
#DEA91A;OPEN SOURCE;Mozilla Labs;689;264;http://labs.mozilla.com/;http://labs.mozilla.com/feed/
#DEA91A;OPEN SOURCE;Linuxfr;717;264;http://linuxfr.org/pub/;http://linuxfr.org/backend/news/rss20.rss
#DEA91A;OPEN SOURCE;Linus Torvald;749;264;http://torvalds-family.blogspot.com/;http://torvalds-family.blogspot.com/feeds/posts/default
#DEA91A;OPEN SOURCE;Clochix;781;264;http://www.clochix.net/;http://www.clochix.net/feed/atom
#DEA91A;OPEN SOURCE;Prendre un café;819;264;http://prendreuncafe.com/;http://www.prendreuncafe.com/blog/feed/atom
#016A3C;PHP;Cal Evans;820;731;http://blog.calevans.com/;http://feeds.feedburner.com/PostcardsFromMyLife
#016A3C;PHP;PHP Impact;820;703;http://blog.fedecarg.com/;http://phpimpact.wordpress.com/feed/
#016A3C;PHP;Redo The Web;820;675;http://redotheweb.com/;http://redotheweb.com/feed/
#F989AD;PHP;Dator;820;459;http://www.dator.fr/;http://feeds2.feedburner.com/DatorBlog
#016A3C;PHP;Symfony Blog;820;647;http://www.symfony-project.org/;http://feeds.feedburner.com/symfony/blog
#016A3C;PHP;Planet symfony;820;619;http://webmozarts.com/;http://feeds.feedburner.com/symfony/planet
#016A3C;PHP;Fabien Potencier;820;588;http://fabien.potencier.org/;http://feeds.aide-de-camp.org/aidedecamp
#DEA91A;PHP;Prendre un café;819;264;http://prendreuncafe.com/;http://www.prendreuncafe.com/blog/feed/atom
#016A3C;PHP;Left on the Web;820;556;http://www.leftontheweb.com/;http://www.leftontheweb.com/atom
#016A3C;PHP;Thomas Rabaix;820;527;http://rabaix.net/;http://rabaix.net/en/articles/sf_format/atom
#016A3C;PHP;Mirmo Dynamics;820;499;http://mirmodynamics.com/;http://mirmodynamics.com/feed/rss2
#016A3C;PHP;Znarf;820;429;http://znarf.h6e.net/blog/;http://znarf.h6e.net/blog/rss.php
#016A3C;PHP;Mageekblog;820;395;http://blog.mageekbox.net/;http://blog.mageekbox.net/?feed/atom
#016A3C;PHP;W0www;820;324;http://www.wowww.ch/;http://www.wowww.ch/index.php?feed/atom
#26A9E0;PHP;Damien Mathieu;819;365;http://www.dmathieu.com/;http://feeds2.feedburner.com/DMathieuFr
#016A3C;PHP;Jérémy Barthe;820;294;http://jeremybarthe.com/;http://feeds.feedburner.com/jeremy-barthe
#016A3C;PHP;Sarah Haïm-Lubczanski;820;234;http://sarahhaim.wordpress.com/;http://sarahhaim.wordpress.com/feed/
#016A3C;PHP;Julien Pauli;820;195;http://www.developpez.com/;http://blog.developpez.com/xmlsrv/rss2.php?blog=126
#016A3C;PHP;Oncle Tom;820;169;http://case.oncle-tom.net/;http://feeds.feedburner.com/LaCaseDeLoncTom
#016A3C;PHP;Akra's DevNotes;820;140;http://akrabat.com/;http://akrabat.com/feed/
#016A3C;PHP;Planet PHP;820;112;http://www.planet-php.net/;http://www.planet-php.org/rss/
#016A3C;PHP;Laurent Jouanneau;820;86;http://ljouanneau.com/;http://ljouanneau.com/blog/feed/atom
